,image_id,caption,perplexity,entropy,filename,questions,jokes
0,1,two cats laying on top of a bed,0.05121062695980072,0.10587574541568756,000000015497.jpg,Why were two cats laying on top of a bed,"['Why were two cats laying on top of a bed', 'Because of a buildup of Oxy. Discus: http://i.imgur.com/t9M7bcQu.jpg', 'Why does Santa have a large sack', 'Because he only comes once a year.', 'Why do seagulls fly over the sea', ""Because, if they did they would be Bagels. (I'm so""]"
1,2,a stop sign on the side of a fence,0.008622923865914345,0.04272259771823883,000000011122.jpg,Why did the side of a fence sign,"['Why did the side of a fence sign', 'Because an old lady was losing count of the times.', ""Q: Why couldn't you fool an aborted baby"", ""A: It wasn't born yesterday."", 'Why did the squirrel cross the road', ""Because it 'ran' the sarcasm."", 'Why do birds always fly United Airlines']"
2,3,a horse drawn carriage on a city street,0.06225971505045891,0.2254866510629654,000000016228.jpg,Why was a horse drawn carriage,"['Why was a horse drawn carriage', 'Because it wanted to ride on iron.', 'Why did the bowl of cereal show up late for work', 'They had a game of fowl.', 'Why did the pigeon go to the doctor', ""Because he couldn't fly."", 'Why did Ted Cruz lose the election', 'He was a man']"
3,4,a dog is playing with a frisbee in its mouth,0.04518764093518257,0.12689098715782166,000000017029.jpg,Why was a dog playing with a frisbee in its mouth,"['Why was a dog playing with a frisbee in its mouth', 'It was trying to get itself lit.', 'Why did Vanilla Ice give Elsa a ring at the bar', 'So she could say ""hello from the freezer""', 'Why did I age my phone?', 'Just for the sake of it', 'Why did the tapeworm wear seashells<eo']"
4,5,a group of people flying kites in the ocean,0.04735296592116356,0.0824584811925888,000000015660.jpg,Why is a group of people flying,"['Why is a group of people flying', ""Because it can't possibly be an airplane..."", 'Why does Santa have a such a big sack', 'He only cums once a year.', 'WHY ARE CAPTIVES BANANA', 'You cant eat them when they are CAUTRILING you.', 'Why did the big wall die<']"
5,6,a man taking a picture of a bathroom mirror,0.07869233191013336,0.16578558087348938,000000009772.jpg,Why was a man taking button,"['Why was a man taking button', 'Because he was hung like a hooker.', 'Why did the chicken cross the road', 'It had no body to go with.', ""Why can't a hipster break into music"", ""Because he can't find the D before the A."", 'Why did the physicist cross the road', 'Because']"
6,7,a living room with a fireplace and a table,0.001239814329892397,0.00911869015544653,000000016958.jpg,Why has a living room with a fireplace and a table always bought,"['Why has a living room with a fireplace and a table always bought', ""Because there's always some wood involved."", 'Why did the coffee file a police report', 'Because it got mugged.', 'Why do gay people hang out with blondies', 'They find men who like booty fucking blowjobs', 'Why are there never any knock-knock jokes about freedom<eo']"
7,8,a man sitting on a bike with a bicycle,0.1562904417514801,0.24549488723278046,000000013177.jpg,Why was a man sitting on a bike with a bicycle,"['Why was a man sitting on a bike with a bicycle', 'He wanted to have someone to stand on after he rode the last drop of milk.', 'Why did the man lose a race', 'Because he had a flat out. (Offical)', 'Why is Daredevil trying to get a divorce', 'He feels disrespected.', 'Why does Snoop Dogg wear a']"
8,9,a man riding a skateboard on a ramp,0.05758447200059891,0.12580162286758423,000000018519.jpg,Why was a man riding a skateboard on a ramp,"['Why was a man riding a skateboard on a ramp', ""A: He was going over his instagram's. B: *Because last year he did a funny video."", 'Why’d the chicken indecisive', 'Because it chicken.', 'Q: Why did the wave bother taking the dentist for her medication', 'A: She suddenly stopped taking her pills.']"
9,10,a woman is standing next to a luggage,0.09506979584693909,0.19948090612888336,000000011699.jpg,Why was a woman standing association,"['Why was a woman standing association', 'She wanted to be a part of the umbrella company.', 'Why did the hipster burn a spot on his tongue', 'He drank the coffee before it was cool. (  ;-; )', 'Why should you never smoke a Republican', 'They are always splinting in the dark.', 'Why do']"
10,11,a group of sheep standing next to a fence,0.14311985671520233,0.2569926977157593,000000012062.jpg,Why was a group of sheep standing to a fence,"['Why was a group of sheep standing to a fence', ""It's not known if the fence was a dog."", 'Why aren\'t cat\'s called ""fsk8""?', 'because they always k8y', 'Why was 6 afraid of 7', 'Because 7 was a registered 6 offender', 'Why do russians switch off the TV while they have sex<']"
11,12,a piece of cake on a plate with a fork,0.001169247436337173,0.00718826986849308,000000013597.jpg,Why has a piece of cake on a plate with a fork never angered,"['Why has a piece of cake on a plate with a fork never angered', ""Because it obviously doesn't make any sense to you."", 'Why did the chicken cross the road', 'To get to the other side! i dunno, i dunno :/', ""Why couldn't Hillary Clinton be compared to a cat"", 'I mean, come on, she had a pretty good internet connection, but not much of an internet connection was ever compared.<']"
12,13,a man is standing on a airport with a luggage,0.16615356504917145,0.30972906947135925,000000012280.jpg,Why was a man standing on a airport with a luggage,"['Why was a man standing on a airport with a luggage', 'He said, """"May I put an extra dollar on my heating bill?"""" ~Ms. Hooper', ""Why can't you give Elsa a balloon"", ""because she'll let it go"", ""Why do Mid-Life crisis! Why can't you give Anna Elsa a baby"", 'Because she might as well be Elsa.']"
13,14,a man sitting at a table eating a sandwich,0.16273030638694763,0.2606580853462219,000000018193.jpg,Why was a man sitting a table <IN>_prep a sandwich,"['Why was a man sitting a table ', '_prep a sandwich', 'Cause he was high on himself.', 'Why did the chicken cross the basketball court', 'He heard the ref was blowing fouls !!!!', 'Why did the husband of the picture blackmail the bride  in order to get her off the street', 'Because he wanted to get her taken.', 'Why do women fake']"
14,15,two zebras are standing next to each other,0.11064454913139343,0.21670758724212646,000000011760.jpg,Why are two zebras standing,"['Why are two zebras standing', ""They are relative selfie's."", 'Why did the monkey fall out of the tree', 'Because it was dead.', 'Why did the blind lady fall in the well', 'Because ^she/^knew_e. ^\\hashtag=antijokes', 'Why did the chicken cross the road<e']"
15,16,a living room with a couch and a table,0.00014947559975553304,0.0013533527962863445,000000013923.jpg,Why does a living room with a couch and a table never sell,"['Why does a living room with a couch and a table never sell', ""Because it's never alone."", ""Why didn't the toilet paper cross the road"", ""It didn't want to get stuck in a crack"", 'Why did the console gamer die', ""He couldn't Vista through the menu bar.."", 'Why do babies wake up early in big games', 'Because']"
16,17,a train is sitting on the tracks in a bridge,0.05669943988323212,0.1923912614583969,000000014380.jpg,Why is a train sitting,"['Why is a train sitting', 'It always has the upper hand.', 'Why did the cat sing', 'It cat up when it had its turn.', ""why can't you hear sex coming"", ""i don't know,imas"", 'Why George Washington was a terrible pilot', 'Because he was treading the law.<e']"
17,18,a cat sitting on top of a car,0.014854093082249165,0.042997803539037704,000000010363.jpg,Why was a cat sitting on top of a car,"['Why was a cat sitting on top of a car', ""So it wouldn't fall off!"", 'Why do Jews have big noses', 'Because air is free, is what you get.', ""Why can't you trust atoms"", 'Because they make everything up.', 'Why is 6 afraid of 7', 'Because 7 is black.', '<eoj']"
18,19,a cup of coffee on a plate with a table,0.18698033690452576,0.4035072326660156,000000013004.jpg,Why did n't a cup of coffee on a plate with a table become,"[""Why did n't a cup of coffee on a plate with a table become"", 'It was a bicameral oele.', 'Why did the chicken cross the road', 'To get a better look at this joke.', 'Why do people say """"To the left; to the left; to creepers; to the left; to the left; to the left', 'To the left', '\n<soq']"
19,20,a man is standing in a room with a laptop computer,0.03428201377391815,0.13101719319820404,000000009483.jpg,Why was a man standing in a room with a laptop computer,"['Why was a man standing in a room with a laptop computer', 'The chair said, """"Wait, are you tired of working at a computer factory?', 'Why did the ""Dark Ages"" pass away', 'The gods gave it up for.', 'Why did the Republican cross the road', 'Because Trump was always right.', 'Why did the tomato blush']"
20,21,a herd of cows walking down a dirt road,0.06519918143749237,0.10221613943576813,000000017178.jpg,Why was a herd of cows walking down a dirt road,"['Why was a herd of cows walking down a dirt road', 'Because its past pump cams! Because its past herd up a few more cars... thanks for the tip Jen. - May 20, 2016Please do not hurt me with your boos.', 'Why is a gun better than a wife', 'You can put a silencer on a gun.', ""Why didn't the toilet paper cross the road"", 'It got stuck']"
